year,character,index,region,security,avg.price,name,size,address,supply,people,rate,rank,sum,value,d.sub,d.hos,cut
2022 2차,청년매입,재공급,양천구,57.32,4963,에코리움빌,20,"서울특별시 양천구 남부순환로60길 12-10, 에코리움빌 (신월동 197-11외)",5,45,9,2순위,0,186900,1000,460,10
2022 2차,청년매입,재공급,양천구,57.32,4963,에코리움빌,20,"서울특별시 양천구 남부순환로60길 12-10, 에코리움빌 (신월동 197-11외)",5,45,9,2순위,0,186900,1000,460,10
2022 2차,청년매입,재공급,양천구,57.32,4963,에코리움빌,20,"서울특별시 양천구 남부순환로60길 12-10, 에코리움빌 (신월동 197-11외)",5,45,9,2순위,0,186900,1000,460,10
2021 2차,청년매입,신규공급,구로구,56.28,3594,하늘사랑채3차 [23B],23,"고척로33나길 4, 고척동 253-40,56",14,43,3.1,2순위,0,164500,730,990,10
2021 2차,청년매입,신규공급,구로구,56.28,3594,하늘사랑채3차 [23B],23,"고척로33나길 4, 고척동 253-40,56",14,43,3.1,2순위,0,164500,730,990,10
2021 2차,청년매입,신규공급,구로구,56.28,3594,하늘사랑채3차 [23B],23,"고척로33나길 4, 고척동 253-40,56",14,43,3.1,2순위,0,164500,730,990,10
2021 2차,청년매입,신규공급,구로구,56.28,3594,명진하이빌 [24B],24,"부일로17길 44, 궁동 190-84,85",11,35,3.2,3순위,7,143100,800,770,7
2021 2차,청년매입,신규공급,구로구,56.28,3594,명진하이빌 [24B],24,"부일로17길 44, 궁동 190-84,85",11,35,3.2,3순위,7,143100,800,770,7
2021 2차,청년매입,신규공급,구로구,56.28,3594,명진하이빌 [24B],24,"부일로17길 44, 궁동 190-84,85",11,35,3.2,3순위,7,143100,800,770,7
2021 2차,청년매입,재공급,도봉구,53.69,3270,우이천로42가길 12,46,쌍문동 472-8,3,10,3.3,3순위,7,125500,510,480,7
2021 2차,청년매입,재공급,도봉구,53.69,3270,우이천로42가길 12,46,쌍문동 472-8,3,10,3.3,3순위,7,125500,510,480,7
2021 2차,청년매입,재공급,도봉구,53.69,3270,우이천로42가길 12,46,쌍문동 472-8,3,10,3.3,3순위,7,125500,510,480,7
2022 2차,청년매입,재공급,구로구,56.28,3594,명진하이빌,20,"서울특별시 구로구 부일로17길 44, 명진하이빌 (궁동 190-84,85)",3,13,4.3,3순위,6,143100,800,770,6
2022 2차,청년매입,재공급,구로구,56.28,3594,낙원가우디움,22,"서울특별시 구로구 고척로27마길 26-11, 낙원가우디움 (고척동 241-157)",6,22,3.7,3순위,6,148900,800,970,6
2022 2차,청년매입,신규공급,구로구,56.28,3594,하늘사랑채5차 B동,19,"서울특별시 구로구 고척로27다길 39-7, 하늘사랑채5차 B동 (고척동 241-116)",17,59,3.5,3순위,6,103800,810,1000,6
2022 2차,청년매입,재공급,구로구,56.28,3594,명진하이빌,20,"서울특별시 구로구 부일로17길 44, 명진하이빌 (궁동 190-84,85)",3,13,4.3,3순위,6,143100,800,770,6
2022 2차,청년매입,재공급,구로구,56.28,3594,낙원가우디움,22,"서울특별시 구로구 고척로27마길 26-11, 낙원가우디움 (고척동 241-157)",6,22,3.7,3순위,6,148900,800,970,6
2022 2차,청년매입,신규공급,구로구,56.28,3594,하늘사랑채5차 B동,19,"서울특별시 구로구 고척로27다길 39-7, 하늘사랑채5차 B동 (고척동 241-116)",17,59,3.5,3순위,6,103800,810,1000,6
2022 2차,청년매입,재공급,구로구,56.28,3594,명진하이빌,20,"서울특별시 구로구 부일로17길 44, 명진하이빌 (궁동 190-84,85)",3,13,4.3,3순위,6,143100,800,770,6
2022 2차,청년매입,재공급,구로구,56.28,3594,낙원가우디움,22,"서울특별시 구로구 고척로27마길 26-11, 낙원가우디움 (고척동 241-157)",6,22,3.7,3순위,6,148900,800,970,6
2022 2차,청년매입,신규공급,구로구,56.28,3594,하늘사랑채5차 B동,19,"서울특별시 구로구 고척로27다길 39-7, 하늘사랑채5차 B동 (고척동 241-116)",17,59,3.5,3순위,6,103800,810,1000,6
